Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.9192559712534348,0.0,0.0,0.0,0.631692101885365
Random Forest,0.919337268100743,1.0,0.0008056394763343404,0.0016099818877037633,0.7314854838159807
XGBoost,0.9200201616181325,0.5827338129496403,0.03262839879154079,0.061796681289338164,0.7688999675360265
XGBoost (Balanced),0.7411996162788808,0.18492520138089757,0.6473313192346425,0.2876706198254643,0.7669998008985535
XGBoost (Custom),0.9199713835097475,0.5964125560538116,0.02678751258811682,0.05127216653816499,0.77195099860116
